,question,topic,quesiton
0,,Fundamentals_of_Differentiation,Find the derivative of f(x) = 2x + 5.
1,,Fundamentals_of_Differentiation,What is the slope of the tangent line to the graph of f(x) = x^2 at x = 3?
2,,Fundamentals_of_Differentiation,Use the limit definition of derivative to find f'(4) if f(x) = 3x + 2.
3,,Fundamentals_of_Differentiation,"Find the equation of the tangent line to the curve y = x^3 + 2x at the point (1,3)."
4,,Fundamentals_of_Differentiation,"If f(x) = sin(2x), what is f '(x) using the chain rule?"
5,,Fundamentals_of_Differentiation,Find the second derivative of f(x) = ln(x^2 + 1).
6,,Fundamentals_of_Differentiation,Use implicit differentiation to find dy/dx if x^2 + y^2 = 4.
7,,Fundamentals_of_Differentiation,"Find the critical points and determine whether they are local maxima, local minima, or neither for f(x) = x^3 - 6x^2 + 9x."
8,,Fundamentals_of_Differentiation,"If the radius of a sphere is increasing at a rate of 2 cm/s, how fast is the volume increasing when the radius is 5 cm?"
9,,Fundamentals_of_Differentiation,Find the derivative of f(x) = (x^2 + 3)^5 using the power rule.
10,,Fundamentals_of_Differentiation,What is the derivative of y = 2x^3 + 5x^2 + 3x?
11,,Fundamentals_of_Differentiation,"Find the slope of the tangent line to the curve y = x^2 at the point (3, 9)."
12,,Fundamentals_of_Differentiation,Differentiate f(x) = cos(2x) with respect to x.
13,,Fundamentals_of_Differentiation,Determine the critical points of the function g(x) = x^3 - 6x^2 + 9x and identify if they are local minima or maxima.
14,,Fundamentals_of_Differentiation,"If the position of an object is given by s(t) = 3t^2 + 8t - 1, what is the velocity of the object at t = 2?"
15,,Fundamentals_of_Differentiation,"Find the concavity of the curve y = x^4 - 2x^3 + 3x^2 at the point (2, 14)."
16,,Fundamentals_of_Differentiation,Calculate the second derivative of h(x) = sin(x) + cos(x) and determine its inflection points.
17,,Fundamentals_of_Differentiation,"If the cost of producing x units of a product is given by C(x) = 1000 + 25x + 0.5x^2, what is the marginal cost when x = 10?"
18,,Fundamentals_of_Differentiation,"Given the function f(x) = 2x + 1, find its anti-derivative."
19,,Fundamentals_of_Differentiation,"What is the equation of the line tangent to the curve y = ln(x) at the point (1, 0)?"
20,,Fundamentals_of_Differentiation,Find the derivative of y = 2x^3 + 5x^2 - x + 3.
21,,Fundamentals_of_Differentiation,"Calculate the slope of the tangent line to the curve y = 4x^2 + 2x - 5 at the point (2, 21)."
22,,Fundamentals_of_Differentiation,"Determine the critical numbers of f(x) = x^3 - 6x + 2 and classify them as local maximum, local minimum, or neither."
23,,Fundamentals_of_Differentiation,At what points does the function f(x) = 3x^2 - 6x - 9 have a horizontal tangent line?
24,,Fundamentals_of_Differentiation,Find the derivative of y = ln(2x^2 - 4).
25,,Fundamentals_of_Differentiation,"A company produces and sells x units of a product per month, with x^2 + 4x + 2 dollars in profit. What is the optimal number of units that should be produced to maximize profit?"
26,,Fundamentals_of_Differentiation,"Given that the position of an object at time t is given by s(t) = 5t^3 - 4t^2 + t + 2, find the velocity of the object at t = 2."
27,,Fundamentals_of_Differentiation,A glass of water is being filled at a constant rate of 2 cubic centimeters per second. At what rate is the water level rising when the height of the water is 10 centimeters?
28,,Fundamentals_of_Differentiation,Find the second derivative of f(x) = 2x^4 - 3x^2 + 5.
29,,Fundamentals_of_Differentiation,The total cost (in dollars) to produce x units of a product is given by C(x) = 20x + 5x^2. Find the marginal cost when x = 10.
30,,Fundamentals_of_Differentiation,What is the derivative of f(x) = 2x^2 + 5x + 8?
31,,Fundamentals_of_Differentiation,"Find the equation of the tangent line to the curve y = x^3 at the point (2,8)."
32,,Fundamentals_of_Differentiation,Calculate the derivative of g(x) = 4x^3 - 6x + 2.
33,,Fundamentals_of_Differentiation,Find the critical points of h(x) = 3x^2 + 6x - 9.
34,,Fundamentals_of_Differentiation,Determine the derivative of f(x) = 4e^x - 5lnx.
35,,Fundamentals_of_Differentiation,"If y = 5x^4 + 2x^2, what is the slope of the tangent line at x = 3?"
36,,Fundamentals_of_Differentiation,Find the second derivative of y = x^5 + 8x^3 + 12x.
37,,Fundamentals_of_Differentiation,"Given f(x) = 2sinx + 3cosx, what is the value of f'(pi/2)?"
38,,Fundamentals_of_Differentiation,Find the equation of the horizontal line that is tangent to the curve y = (x^2 + 1)^3 at x = 2.
39,,Fundamentals_of_Differentiation,Calculate the derivative of y = 3^(2x) at x = 0.
40,,Fundamentals_of_Differentiation,Find the derivative of f(x) = 3x² + 5x - 2.
41,,Fundamentals_of_Differentiation,Use the limit definition of derivative to find the derivative of g(x) = 4x + 6.
42,,Fundamentals_of_Differentiation,"Given f(x) = x³ - 2x, determine the equation of the tangent line at the point (2, 4)."
43,,Fundamentals_of_Differentiation,Find the critical points of h(x) = x³ - 7x² + 12x.
44,,Fundamentals_of_Differentiation,Use the quotient rule to find the derivative of f(x) = (3x + 2) / (x - 4).
45,,Fundamentals_of_Differentiation,Find the point(s) of inflection of g(x) = x⁴ - 4x³ + 3x² + 2.
46,,Fundamentals_of_Differentiation,"Determine the maximum and minimum values of h(x) = x³ - 12x + 5 on the interval [-2, 2]."
47,,Fundamentals_of_Differentiation,Use the chain rule to find the derivative of f(x) = √(x² + 1).
48,,Fundamentals_of_Differentiation,Find the second derivative of g(x) = 4x⁴ - 5x² + 2.
49,,Fundamentals_of_Differentiation,"Given the graph of f(x), sketch the graph of f'(x) and determine the intervals where the original function is increasing and decreasing."
50,,Fundamentals_of_Differentiation,Find the derivative of f(x) = 3x^2 + 5.
51,,Fundamentals_of_Differentiation,"Determine the slope of the tangent line to the curve y = 2x^3 - 4 at the point (1, 2)."
52,,Fundamentals_of_Differentiation,Find the derivative of y = (x^2 + 2)/(4x).
53,,Fundamentals_of_Differentiation,At what value of x is the derivative of the function f(x) = 2x^3 + 5x^2 - 3x + 1 equal to 0?
54,,Fundamentals_of_Differentiation,Given: f(x) = (4x + 2)^5
55,,Fundamentals_of_Differentiation,f'(x).
56,,Fundamentals_of_Differentiation,Find the maximum or minimum value of the function g(x) = 3x^2 + 12x - 5 using differentiation.
57,,Fundamentals_of_Differentiation,"A car travels along a straight road at a constant speed of 50 km/hr. At t seconds after midnight, the car has traveled (5t + 1)^2 meters. Find the acceleration of the car at t = 2 seconds."
58,,Fundamentals_of_Differentiation,"If y = 2x^2 - 3x, find the value of x that will make the slope of the tangent line to the curve equal to 8."
59,,Fundamentals_of_Differentiation,"The volume of a cube is given by V(x) = x^3, where x is the length of one side. Find the change in volume when x increases from 4 cm to 5 cm."
60,,Fundamentals_of_Differentiation,A water balloon is being filled at a constant rate of 5 cubic centimeters per second. At what rate is the radius of the balloon increasing when the volume is 100π cm^3?
61,,Fundamentals_of_Differentiation,Find the derivative of f(x) = 3x^5.
62,,Fundamentals_of_Differentiation,"Given the function f(x) = x^3 + 5x, find the value of f'(5)."
63,,Fundamentals_of_Differentiation,Find the value of the derivative of f(x) = 2x^2 - 4x + 7 when x = 4.
64,,Fundamentals_of_Differentiation,What is the derivative of f(x) = 5x^4 + 10x^3 + 15x^2 + 20x + 25?
65,,Fundamentals_of_Differentiation,"If f(x) = 3x^2 + 2x, what is the equation of the tangent line at x = 2?"
66,,Fundamentals_of_Differentiation,Find the derivative of g(x) = (x^3 + 2x^2)^2.
67,,Fundamentals_of_Differentiation,"Given the function h(x) = x^4 + 6x^3 + 12x^2, at what point(s) does the graph have a horizontal tangent line?"
68,,Fundamentals_of_Differentiation,Find the equation of the tangent line to f(x) = (2x + 3)^2 at x = 4.
69,,Fundamentals_of_Differentiation,"If f(x) = 3x^2 - 4x + 10, at what point(s) does the graph have a slope of 6?"
70,,Fundamentals_of_Differentiation,Find the derivative of the function g(x) = (x^2 + 3x)^3.
71,,Fundamentals_of_Differentiation,Find the derivative of y = 3x^2 + 5x - 2
72,,Fundamentals_of_Differentiation,What is the limit of (x^3 - 1) / (x - 1) as x approaches 1?
73,,Fundamentals_of_Differentiation,"Determine the maximum and minimum values of the function f(x) = x^3 - 12x + 5 on the interval [0, 4]."
74,,Fundamentals_of_Differentiation,"Calculate the slope of the tangent line to the function g(x) = 2x^2 - 3x + 1 at the point (2, 3)."
75,,Fundamentals_of_Differentiation,Solve for x if the derivative of y = x^4 + 9 is equal to 12.
76,,Fundamentals_of_Differentiation,"Find the equation of the tangent line to the curve y = x^3 at the point (1, 1)."
77,,Fundamentals_of_Differentiation,"Given f(x) = 2x^2 + 3x, find f'(x) and f''(x)."
78,,Fundamentals_of_Differentiation,"What is the derivative of the natural logarithm function, ln(x)?"
79,,Fundamentals_of_Differentiation,Find all values of x for which the function h(x) = x^2 + 4x is increasing.
80,,Fundamentals_of_Differentiation,Determine the acceleration function of a particle whose velocity function is v(t) = 3t^2 + 5t + 2.
81,,Fundamentals_of_Differentiation,Find the derivative of the function f(x) = 5x^3 + 2x.
82,,Fundamentals_of_Differentiation,Determine the equation of the tangent line to the graph of f(x) = x^2 - 2x + 1 at x = 4.
