,topic,quesiton
0,Generate me a calculus question on Analytical_Applications_of_Differentiation,"Find the equation of the tangent line to the curve y = x^2 at the point (2, 4)."
1,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A manufacturer wants to maximize the profit for a certain product. If the cost function is given by C(x) = 200 + 5x and the demand function is given by P(x) = 500 - 0.5x, where x is the number of units produced, how many units should be produced to maximize the profit?"
2,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A ladder is leaning against a wall, with its base 10 feet away from the wall. If the top of the ladder is sliding down the wall at a rate of 2 feet per second, how fast is the bottom of the ladder moving away from the wall when it is 6 feet high?"
3,Generate me a calculus question on Analytical_Applications_of_Differentiation,"Water is flowing into a conical tank at a rate of 3 ft^3/min. If the height of the tank is 10 feet and the radius of the top is 5 feet, how fast is the height of the water increasing when the water is 4 feet deep?"
4,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A bridge is being built in the shape of a parabolic arch. If the arch has a span of 100 feet and a maximum height of 50 feet, what is the equation of the parabola that represents the arch?"
5,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The rate of change of the circumference of a circle as the radius increases is given by the derivative of the circumference formula, dC/dr = 2π. If the circumference of a circle is 10π inches, what is the rate of change of the circle's area when the radius is 5 inches?"
6,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A company sells a product with a constant demand of 300 units per week. If the price function is given by P(x) = 500 - x, where x is the number of units produced, how much should the company charge to maximize revenue?"
7,Generate me a calculus question on Analytical_Applications_of_Differentiation,A rocket is launched vertically into the air and its height (in feet) after t seconds is given by h(t) = 1000t - 16t^2. What is the maximum height the rocket can reach and at what time does it reach this height?
8,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A metal box with no lid is to be constructed. If the base of the box has dimensions 8 inches by 12 inches and the volume is to be 400 cubic inches, find the dimensions that will minimize the surface area of the box."
9,Generate me a calculus question on Analytical_Applications_of_Differentiation,A
10,Generate me a calculus question on Analytical_Applications_of_Differentiation,Find the maximum value of the profit function for a company with a demand function of p = 1000 - 2x and a cost function of C(x) = 500 + 3x.
11,Generate me a calculus question on Analytical_Applications_of_Differentiation,A rectangular prism with a volume of 1000 cm^3 has a square base. What dimensions should the prism have to minimize the surface area?
12,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A ladder is leaning against a wall, with its base 5 meters away from the wall. If the top of the ladder is sliding down the wall at a rate of 2 meters per second, how fast is the bottom of the ladder moving away from the wall when the top is 12 meters high?"
13,Generate me a calculus question on Analytical_Applications_of_Differentiation,A cylindrical soup can with a radius of 5 cm is being filled with soup flowing at a rate of 100 cm^3 per second. How fast is the height of the soup changing when the depth of the soup is 10 cm?
14,Generate me a calculus question on Analytical_Applications_of_Differentiation,A rectangular piece of cardboard has a length twice its width. It is being cut in a way that the resulting box will have a square base. What should be the dimensions of the original cardboard in order to maximize the volume of the box?
15,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A car is traveling at a constant speed of 60 km/hr. It passes a police car that is parked on the side of the road. If the police car starts accelerating at a rate of 5 km/hr^2, how long will it take for the police car to catch up to the speeding car?"
16,Generate me a calculus question on Analytical_Applications_of_Differentiation,A baseball is hit into the air with an initial velocity of 30 m/s at an angle of 45 degrees. How far does the ball travel before it hits the ground?
17,Generate me a calculus question on Analytical_Applications_of_Differentiation,A company produces and sells x units of a product. The total cost function is C(x) = 2000 + 5x^3 and the revenue function is R(x) = 500x. Find the production level that will maximize profit.
18,Generate me a calculus question on Analytical_Applications_of_Differentiation,A rocket is fired straight up from the ground with an initial velocity of 50 m/s. The rocket's height (in meters) after t seconds is given by h(t) = -5t^2 + 100t. Find the maximum height reached and the time it takes to reach that height.
19,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A flagpole casts a shadow that is 40 feet long. If the angle of elevation of the sun is 30 degrees, how tall is the flagpole?"
20,Generate me a calculus question on Analytical_Applications_of_Differentiation,What is the rate of change of the volume of a sphere with respect to its radius?
21,Generate me a calculus question on Analytical_Applications_of_Differentiation,How fast is the area of a circle growing when the radius is increasing by 2 meters per second?
22,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A ladder is leaning against a wall with its base 4 feet away from the wall. If the base is being pulled away from the wall at a rate of 1 foot per second, how fast is the top of the ladder sliding down the wall when the base is 10 feet high?"
23,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A conical water tank has a height of 8 meters and a radius of 5 meters. If water is being pumped into the tank at a rate of 10 cubic meters per minute, how fast is the depth of the water increasing when the water is at a depth of 6 meters?"
24,Generate me a calculus question on Analytical_Applications_of_Differentiation,Find the point on the curve y = x^3 - 5x^2 + 4x + 1 where the tangent line is parallel to the line y = 2x - 5.
25,Generate me a calculus question on Analytical_Applications_of_Differentiation,A particle moves along the x-axis according to the position function x(t) = t^3 + 6t^2 + 9t. At what time t does the particle change direction?
26,Generate me a calculus question on Analytical_Applications_of_Differentiation,The cost C and revenue R in dollars for selling x units of a certain product are given by the equations: C(x) = 500 + 3x and R(x) = 20x. Find the level of production that maximizes profit.
27,Generate me a calculus question on Analytical_Applications_of_Differentiation,A car is traveling along a straight road at a constant speed of 60 miles per hour. At what rate is the distance between the car and a stationary object changing if the car is approaching the object at a rate of 40 miles per hour?
28,Generate me a calculus question on Analytical_Applications_of_Differentiation,A right circular cone with a height of 10 meters and a base radius of 6 meters is being filled with liquid at a rate of 2 cubic meters per minute. At what rate is the depth of the liquid in the cone increasing when the cone is half full?
29,Generate me a calculus question on Analytical_Applications_of_Differentiation,A rectangular garden is to be built against a house using 60 meters of fencing. Find the dimensions of the garden with the maximum area.
30,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A manufacturing company produces a certain product at a constant rate of 200 units per day. If the cost function for producing n units per day is given by C(n) = 0.002n^2 + 40n + 500, what is the minimum cost of producing 500 units in a day?"
31,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The demand function for a particular product is given by q = 500 - 4p, where p is the price in dollars and q is the quantity demanded in thousands. Find the price that will maximize the total revenue."
32,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The volume of a cylindrical tank is increasing at a rate of 2π cubic meters per hour. If the radius of the tank is 5 meters, how fast is the height increasing when the height is 10 meters?"
