,question,topic,quesiton
0,,Limits_and_Continuity,Find the limit of f(x) = (x^2 + 3x + 2) / (x + 1) as x approaches 2.
1,,Limits_and_Continuity,Determine if the function f(x) = (3x^2 - 4x) / (2x - 1) is continuous at x = 2.
2,,Limits_and_Continuity,Evaluate the left-hand and right-hand limits of f(x) = (2x^2 + 5x - 1) / (x - 3) as x approaches 3.
3,,Limits_and_Continuity,Determine the value of c such that the function f(x) = (2x^3 - 5x^2 + c) / (6x^2 - 9x) is continuous at x = 1.
4,,Limits_and_Continuity,Find the limit of g(x) = (5x^3 + 2x^2 - 3x) / (2x^3 + 7x^2 - 4) as x approaches infinity.
5,,Limits_and_Continuity,Determine the value of k such that the function f(x) = (x^2 + 5x + k) / (x + 1) is continuous at x = -2.
6,,Limits_and_Continuity,Find the limit of h(x) = (3x + 4) / (x^2 - 9) as x approaches -3.
7,,Limits_and_Continuity,Show that f(x) = sin(x) / x is continuous at x = 0.
8,,Limits_and_Continuity,"Use the definition of continuity to prove that the function f(x) = x^2 - 5x + 6 is continuous on the interval [2, 6]."
9,,Limits_and_Continuity,Evaluate the limit of f(x) = (x^2 + 4x + 3) / (x - 2) as x approaches 2 from both the left and right sides.
10,,Limits_and_Continuity,Find the limit of f(x) = (x^2 - 1) / (x - 1) as x approaches 1.
11,,Limits_and_Continuity,Evaluate the limit of g(x) = (e^x - 1) / x as x approaches 0.
12,,Limits_and_Continuity,Determine the limit of h(x) = (3x^2 + 2x - 1) / (5x^2 - 4) as x approaches infinity.
13,,Limits_and_Continuity,Calculate the limit of k(x) = (sin^2 x) / x as x approaches 0.
14,,Limits_and_Continuity,What is the limit of f(x) = (3x + 4) / (5x + 6) as x approaches -2?
15,,Limits_and_Continuity,Find the limit of g(x) = (x^3 + 3x + 1) / (x^2 + 2x + 1) as x approaches -1.
16,,Limits_and_Continuity,Determine the limit of h(x) = (2x^3 + 3x - 1) / (4x^2 + 2x + 3) as x approaches 2.
17,,Limits_and_Continuity,What is the limit of k(x) = (x^2 + 3x - 1) / (x + 1) as x approaches -1?
18,,Limits_and_Continuity,Calculate the limit of f(x) = (sin x) / x as x approaches infinity.
19,,Limits_and_Continuity,Find the limit of g(x) = (2x + 1) / (x^2 + 1) as x approaches infinity.
20,,Limits_and_Continuity,Evaluate the limit: lim(x->3) (x^2 - 9)/(x-3)
21,,Limits_and_Continuity,Find the limit of f(x) = 2x+5 as x approaches 4
22,,Limits_and_Continuity,Determine the limit: lim(x->0) (sinx)/x
23,,Limits_and_Continuity,Evaluate the limit: lim(x->2) (x+5)/(x-2)
24,,Limits_and_Continuity,"Given the function f(x) = (2x^2-3)/(x+1), find the limit lim(x->-1) f(x)"
25,,Limits_and_Continuity,Find the limit: lim(x->1) (3x-7)/(x-1)
26,,Limits_and_Continuity,Evaluate the limit: lim(x-> infinity) (3x^2)/(4x^2 - 2x)
27,,Limits_and_Continuity,Determine the limit: lim(x->0) (1/x) + (1/x^2)
28,,Limits_and_Continuity,"Given the function g(x) = (x+2)/(x-3), find lim(x->3) g(x)"
29,,Limits_and_Continuity,Find the limit: lim(x-> -2) (x^3 + 8)/(x+2)
30,,Limits_and_Continuity,Find the limit of (3x^2 - 2x + 5) as x approaches 2.
31,,Limits_and_Continuity,Determine whether the function f(x) = (x^3 - 4x^2 + 5x + 9)/(x^2 + 1) is continuous at x = 3.
32,,Limits_and_Continuity,Calculate the left and right-hand limits of f(x) = x/(x - 3) as x approaches 3.
33,,Limits_and_Continuity,Use the squeeze theorem to find the limit of sin(x)/x as x approaches 0.
34,,Limits_and_Continuity,"If lim x->a f(x) = L and lim x->a g(x) = M, what is the value of lim x->a (f(x) + g(x))?"
35,,Limits_and_Continuity,Show that the function f(x) = (x^2 - 9)/(x - 3) has a removable discontinuity at x = 3.
36,,Limits_and_Continuity,What is the limit of (1 - e^x)/x as x approaches infinity?
37,,Limits_and_Continuity,Prove that the function f(x) = sin(1/x) is not continuous at x = 0.
38,,Limits_and_Continuity,"If lim x->2 f(x) = 4 and lim x->2 g(x) = -3, what is the value of lim x->2 (2f(x) - g(x))?"
39,,Limits_and_Continuity,Find the limit as x approaches 0 of (sin(2x)^2)/(4x).
40,,Limits_and_Continuity,Find the limit as x approaches 0 of (sin 2x) / x
41,,Limits_and_Continuity,Evaluate the limit as x approaches infinity of (3x + 1) / (4x - 2)
42,,Limits_and_Continuity,Determine the limit as x approaches 4 of (x^2 - 16) / (x - 4)
43,,Limits_and_Continuity,Compute the limit as x approaches 1 of (x + 3) / (x^2 + x - 2)
44,,Limits_and_Continuity,Simplify the expression and find the limit as x approaches 2 of (x^3 - 8) / (x - 2)
45,,Limits_and_Continuity,Evaluate the limit as x approaches -3 of (2x + 5) / (x^2 + 9)
46,,Limits_and_Continuity,Find the limit as x approaches 2 of (x^2 - 4) / (x - 2)^2
47,,Limits_and_Continuity,Determine the limit as x approaches 0 of (sec x - 1) / x
48,,Limits_and_Continuity,Calculate the limit as x approaches 3 of (2x^2 - 3x + 7) / (x^2 - 3)
49,,Limits_and_Continuity,Find the limit as x approaches -2 from above of (x^2 - 4) / (x + 2)
50,,Limits_and_Continuity,What is the limit of (x^2 + 3) / (x + 1) as x approaches 2?
51,,Limits_and_Continuity,Find the limit of (e^x - 1) / x as x approaches 0.
52,,Limits_and_Continuity,Evaluate the limit of (cos(x) - 1) / x as x approaches 0.
53,,Limits_and_Continuity,Calculate the limit of (4x^2 + 2x - 1) / x as x approaches -1.
54,,Limits_and_Continuity,Determine the limit of (3x^3 - 4x^2 + x) / x^4 as x approaches infinity.
55,,Limits_and_Continuity,Find the limit of (3x + 2) / (2x - 1) as x approaches 1/2.
56,,Limits_and_Continuity,Evaluate the limit of (x^3 + 5x - 2) / (x^2 + 4) as x approaches -2.
57,,Limits_and_Continuity,What value(s) must a be equal to in order for the limit of (ax + 3) / (x - 1) as x approaches 1/3 to exist?
58,,Limits_and_Continuity,Calculate the limit of (2x^3 + 5x^2 - x) / (3x^3 + 2x^2 + x) as x approaches -2/3.
59,,Limits_and_Continuity,Find the limit of (2sin(x) + x) / (x^2 + 4) as x approaches 0.
60,,Limits_and_Continuity,What is the limit of (x^2-1)/(x-1) as x approaches 1?
61,,Limits_and_Continuity,Find the limit of (3x^2+2)/x as x approaches infinity.
62,,Limits_and_Continuity,Evaluate the limit of (2x^3-3x^2+4)/x^2 as x approaches negative infinity.
63,,Limits_and_Continuity,Compute the limit of (sinx)/x as x approaches 0.
64,,Limits_and_Continuity,What is the limit of (2x+1)/(x-2) as x approaches 2 from the left?
65,,Limits_and_Continuity,Find the limit of (x^2+2)/(x+3) as x approaches -3.
66,,Limits_and_Continuity,Evaluate the limit of (sqrt(x+3)-2)/(x-1) as x approaches 1.
