,question,topic,quesiton
0,,Infinite_Sequences_and_Series,Find the sum of the infinite geometric series $\sum_{n=0}^{\infty} \frac{3}{4^n}$.
1,,Infinite_Sequences_and_Series,Calculate the radius of convergence for the power series $\sum_{n=0}^{\infty} \frac{x^n}{n^2}$.
2,,Infinite_Sequences_and_Series,Show that the infinite series $\sum_{n=1}^{\infty} \frac{1}{n}$ diverges.
3,,Infinite_Sequences_and_Series,Find the interval of convergence for the Taylor series of $f(x) = \frac{1}{1-x}$ about $x=0$.
4,,Infinite_Sequences_and_Series,Find the limit of the sequence $(a_n) = \frac{n}{3n+2}$ as $n$ approaches infinity.
5,,Infinite_Sequences_and_Series,Test the series $\sum_{n=1}^{\infty} \frac{n^3+4n+1}{n^4-n}$ for convergence or divergence.
6,,Infinite_Sequences_and_Series,Find the sum $\sum_{n=0}^{\infty} \frac{(-1)^n}{3^n}$ using the alternating series test.
7,,Infinite_Sequences_and_Series,Find the general term for the Taylor series of $f(x) = e^{2x}$ about $x=1$.
8,,Infinite_Sequences_and_Series,Determine if the series $\sum_{n=1}^{\infty} \frac{1}{\sqrt{n(n+1)}}$ converges or diverges.
9,,Infinite_Sequences_and_Series,Find the radius of convergence for the Maclaurin series of $f(x) = \sin(3x)$.
10,,Infinite_Sequences_and_Series,Find the sum of the infinite geometric series: 2+6+18+...
11,,Infinite_Sequences_and_Series,Determine the convergence or divergence of the series: 1/2 + 1/3 + 1/4 + ...
12,,Infinite_Sequences_and_Series,What is the value of the telescoping series: 1/2 + 1/6 + 1/12 + ... + 1/n(n+1) + ...
13,,Infinite_Sequences_and_Series,Find the value of x that satisfies the equation: lim n-> ∞ ∑ x^n/n! = e
14,,Infinite_Sequences_and_Series,"Using the integral test, determine the convergence or divergence of the series: ∑ 1/n^2 + n"
15,,Infinite_Sequences_and_Series,Find the radius of convergence for the power series: ∑ n^n*x^n/n!
16,,Infinite_Sequences_and_Series,Prove the convergence of the alternating harmonic series: ∑ (-1)^n/n
17,,Infinite_Sequences_and_Series,Find the Taylor series expansion for the function f(x) = ln(x) centered at x = 1
18,,Infinite_Sequences_and_Series,"Using the ratio test, determine the convergence or divergence of the series: ∑ n!/n^n"
19,,Infinite_Sequences_and_Series,Evaluate the Maclaurin series for sin(x) up to x^6 terms
20,,Infinite_Sequences_and_Series,Find the sum of the infinite series: ∑n=1 ∞ (1/2)^n
21,,Infinite_Sequences_and_Series,Prove or disprove: The infinite series ∑n=1 ∞ (1/n) diverges.
22,,Infinite_Sequences_and_Series,Find the limit as n approaches infinity of the sequence 1/n^2.
23,,Infinite_Sequences_and_Series,"Given the infinite series ∑n=1 ∞ (3^n / 2^n), determine whether it converges or diverges."
24,,Infinite_Sequences_and_Series,Find the radius of convergence for the power series ∑n=0 ∞ (x^n / n!).
25,,Infinite_Sequences_and_Series,Determine the interval of convergence for the power series ∑n=1 ∞ ((-1)^n / n) (x+3)^n.
26,,Infinite_Sequences_and_Series,Use the ratio test to determine the convergence of the infinite series ∑n=1 ∞ (n^2 / (n+1)^3).
27,,Infinite_Sequences_and_Series,Find the Maclaurin series representation of f(x) = ln(1+x).
28,,Infinite_Sequences_and_Series,"Given the recursive sequence a1 = 1 and an = (an-1)^2 for n ≥ 2, find the limit as n approaches infinity."
29,,Infinite_Sequences_and_Series,Use the integral test to determine the convergence of the infinite series ∑n=1 ∞ (e^(-n) / n^2).
30,,Infinite_Sequences_and_Series,Find the sum of the infinite geometric series 1 + 1/4 + 1/16 + ...
31,,Infinite_Sequences_and_Series,Determine the radius of convergence for the power series Σ(n=1 to ∞) (x^n/n^2).
32,,Infinite_Sequences_and_Series,"Given the sequence a_n = n/(n+1), find lim(a_n) as n approaches infinity."
33,,Infinite_Sequences_and_Series,Show that the alternating series Σ(n=1 to ∞) (-1)^n/n converges.
34,,Infinite_Sequences_and_Series,Use the integral test to determine the convergence or divergence of the series Σ(n=1 to ∞) (1+2/n)/n^2.
35,,Infinite_Sequences_and_Series,Find the Maclaurin series for sin(x) and determine its radius of convergence.
36,,Infinite_Sequences_and_Series,Prove that the series Σ(n=1 to ∞) n/(3^n) is convergent using the ratio test.
37,,Infinite_Sequences_and_Series,Find the Taylor series for ln(x) centered at x=1 and determine its radius of convergence.
38,,Infinite_Sequences_and_Series,Show that the series sum(n=1 to ∞) 1/(n^2 + 1) is convergent using the comparison test.
39,,Infinite_Sequences_and_Series,Find the sum of the infinite series Σ(n=1 to ∞) (1/2)^n.
40,,Infinite_Sequences_and_Series,Find the first five terms of the geometric sequence defined by a<sub>n</sub> = (-2)<sup>n</sup>.
41,,Infinite_Sequences_and_Series,Calculate the limit lim<sub>n→∞</sub> (n/ (n+1)).
42,,Infinite_Sequences_and_Series,Determine whether the series ∑<sub>n = 1</sub><sup>∞</sup> (2n + 1)/(3n<sup>2</sup>) is convergent or divergent.
43,,Infinite_Sequences_and_Series,Find the Maclaurin series expansion for f(x) = e<sup>x</sup>.
44,,Infinite_Sequences_and_Series,Determine the radius of convergence for the power series ∑<sub>n = 0</sub><sup>∞</sup> (n+1)x<sup>n</sup>.
45,,Infinite_Sequences_and_Series,Find the sum of the series ∑<sub>n = 1</sub><sup>∞</sup> (π/4)<sup>n</sup>.
46,,Infinite_Sequences_and_Series,"Given the sequence {a<sub>n</sub>} where a<sub>n</sub> = (n<sup>2</sup>-1)/(n+2), determine whether the sequence converges or diverges."
47,,Infinite_Sequences_and_Series,Evaluate the integral ∫<sub>0</sub><sup>1</sup> e<sup>2x</sup> dx using the infinite series definition of e<sup>x</sup>.
48,,Infinite_Sequences_and_Series,"If a divergent sequence has a partial sum Sn = 4n<sup>3</sup> + 2n - 5, find lim<sub>n→∞</sub> Sn/n."
49,,Infinite_Sequences_and_Series,Find the ratio and root tests for the series ∑<sub>n = 1</sub><sup>∞</sup> (2n<sup>2</sup> + 5)/(n<sup>3</sup> + 1).
50,,Infinite_Sequences_and_Series,Find the sum of the geometric series 4 + 8 + 16 + 32 + ...
51,,Infinite_Sequences_and_Series,Determine the convergence of the series 3 + 6 + 12 + 24 + ...
52,,Infinite_Sequences_and_Series,Evaluate the series ∑(2n-1)/n from n=1 to infinity
53,,Infinite_Sequences_and_Series,Show that the series 1 + 1/2 + 1/3 + 1/4 + ... diverges.
54,,Infinite_Sequences_and_Series,Find the radius of convergence and interval of convergence for the power series ∑(x^n)/n from n=1 to infinity
55,,Infinite_Sequences_and_Series,Prove that the alternating series (-1)^n/n converges using the alternating series test.
56,,Infinite_Sequences_and_Series,Evaluate the integral ∫(1+x)^n with respect to x using the geometric series.
57,,Infinite_Sequences_and_Series,"Using the ratio test, determine if the series ∑(n^2)/3^n converges or diverges."
58,,Infinite_Sequences_and_Series,Find the Maclaurin series representation for sin(x).
59,,Infinite_Sequences_and_Series,Determine if the series 1/ln(n) from n=2 to infinity converges or diverges.
60,,Infinite_Sequences_and_Series,"Find the limit of the recursive sequence {an} defined by a1 = 1, an+1 = 1 + 1/an."
61,,Infinite_Sequences_and_Series,Determine whether the series ∑ n=1 to infinity (1/2)^n converges or diverges.
62,,Infinite_Sequences_and_Series,Find the radius of convergence and interval of convergence for the power series ∑ n=1 to infinity x^n/n^2.
63,,Infinite_Sequences_and_Series,Show that the alternating series ∑ n=1 to infinity (-1)^(n+1)(5/n) converges using the Alternating Series Test.
64,,Infinite_Sequences_and_Series,Use the Ratio Test to determine the convergence or divergence of the series ∑ n=1 to infinity (2^n)/n^2.
65,,Infinite_Sequences_and_Series,Find the Maclaurin series for ln(x) and determine its interval of convergence.
66,,Infinite_Sequences_and_Series,"Given the infinite series ∑ n=1 to infinity (n^2 + 2n)/(3n^3 + 4n), determine whether it converges or diverges."
67,,Infinite_Sequences_and_Series,Find the sum of the infinite series ∑ n=1 to infinity (1/3)^n.
68,,Infinite_Sequences_and_Series,Determine the convergence or divergence of the series ∑ n=1 to infinity (n+1)/(2n^2 + 1) using the Direct Comparison Test.
69,,Infinite_Sequences_and_Series,Find the radius of convergence and sum of the infinite series ∑ n=0 to infinity (2^n)/(n!) - 1.
70,,Infinite_Sequences_and_Series,Determine the convergence or divergence of the infinite series: $\sum_{n=0}^{\infty} \frac{1}{n^2+3}$.
71,,Infinite_Sequences_and_Series,Find the sum of the geometric series: $\sum_{n=1}^{\infty} \frac{2^n}{3^n}$.
72,,Infinite_Sequences_and_Series,Show that the alternating harmonic series is convergent.
73,,Infinite_Sequences_and_Series,Calculate the value of the convergent infinite series: $\sum_{n=1}^{\infty} 3^n \left( \frac{1}{4} \right)^n$.
74,,Infinite_Sequences_and_Series,Determine the radius of convergence for the power series: $\sum_{n=0}^{\infty} \frac{(x-1)^n}{n!}$.
75,,Infinite_Sequences_and_Series,Prove that the infinite series: $\sum_{n=0}^{\infty} \frac{n^2}{2^n}$ is convergent.
76,,Infinite_Sequences_and_Series,Find the Maclaurin series representation for the function $f(x) = \frac{1}{1-3x}$.
77,,Infinite_Sequences_and_Series,Use the integral test to determine the convergence or divergence of the infinite series: $\sum_{n=0}^{\infty} \frac{1}{n^2+1}$.
78,,Infinite_Sequences_and_Series,Determine the convergence or divergence of the infinite series: $\sum_{n=1}^{\infty} \frac{n^2}{e^n}$.
79,,Infinite_Sequences_and_Series,Find the Taylor polynomial of degree 5 for the function $f(x) = \sin(x)$ centered at $a=\pi/6$.
80,,Infinite_Sequences_and_Series,Find the sum of the infinite series: 1 + 1/2 + 1/4 + 1/6 + ...
81,,Infinite_Sequences_and_Series,Determine if the series 1 + 1/4 + 1/16 + 1/64 + ... converges or diverges.
82,,Infinite_Sequences_and_Series,Find the radius of convergence and interval of convergence for the power series x + x^2/2 + x^3/3 + ...
83,,Infinite_Sequences_and_Series,Calculate the limit of n sin(1/n) as n approaches infinity.
84,,Infinite_Sequences_and_Series,Show that the geometric series 2 + 1/2 + 1/4 + 1/8 + ... converges to 4.
85,,Infinite_Sequences_and_Series,Find the Maclaurin series for e^x.
86,,Infinite_Sequences_and_Series,Determine the convergence or divergence of the series (n+1)/3^n.
87,,Infinite_Sequences_and_Series,Find the closed form of the infinite series 1 + x + x^2 + x^3 + ...
88,,Infinite_Sequences_and_Series,Show that the Taylor series for sin(x) converges to the function for all real numbers.
89,,Infinite_Sequences_and_Series,Find the sum of the infinite series: 1/(n(n+1)).
90,,Infinite_Sequences_and_Series,Find the sum of the infinite geometric series: 2 + 4 + 8 + 16 + ...
91,,Infinite_Sequences_and_Series,Determine whether the infinite series 1/(n^2) converges or diverges.
92,,Infinite_Sequences_and_Series,Evaluate the limit of (n+2)^2 / (n+1)^2 as n approaches infinity.
93,,Infinite_Sequences_and_Series,Show that the Taylor series expansion of sin(x) is equal to its Maclaurin series expansion.
94,,Infinite_Sequences_and_Series,Find the radius of convergence of the infinite power series: 1 + x + (x^2)/2! + (x^3)/3! + ...
95,,Infinite_Sequences_and_Series,Prove that the infinite series 1 + 1/2 + 1/4 + 1/8 + ... is convergent.
96,,Infinite_Sequences_and_Series,Find the value of x such that the infinite series 1 + x + (x^2)/2! + (x^3)/3! + ... converges.
97,,Infinite_Sequences_and_Series,Show that the harmonic series 1 + 1/2 + 1/3 + 1/4 + ... is a divergent infinite series.
98,,Infinite_Sequences_and_Series,Find the sum of the infinite series: 4 + 2 + 1 + 1/2 + 1/4 + ...
99,,Infinite_Sequences_and_Series,Use the integral test to determine whether the infinite series (n^3 + 2n) / (n^4 + n^2 + 3) converges or diverges.
100,,Infinite_Sequences_and_Series,Find the sum of the infinite geometric series 3 + 1 + 1/3 + 1/9 + ...
101,,Infinite_Sequences_and_Series,Evaluate the limit as n approaches infinity of the sequence 1/n^2
102,,Infinite_Sequences_and_Series,Determine the radius of convergence for the Taylor series of ln(x) centered at x = 2
103,,Infinite_Sequences_and_Series,Find the Maclaurin series for sin(x) and determine its convergence interval
104,,Infinite_Sequences_and_Series,"Using the integral test, show whether the series 1/(n^2 + 1) converges or diverges"
105,,Infinite_Sequences_and_Series,Find the nth partial sum of the harmonic series 1 + 1/2 + 1/3 + ...
106,,Infinite_Sequences_and_Series,Use the ratio test to determine the convergence or divergence of the series 5^(n+1)/n!
107,,Infinite_Sequences_and_Series,Find the interval of convergence for the power series x + x^2 + (x^3)/2 + (x^4)/3 + ...
108,,Infinite_Sequences_and_Series,Find the inflection points of the function f(x) = ln(cos(x))
109,,Infinite_Sequences_and_Series,"Given the convergent series 1 + 1/2 + 1/4 + 1/8 + ..., find its sum and determine its associated limit."
110,,Infinite_Sequences_and_Series,Find the value of the infinite series: 1/2 + 1/4 + 1/8 + ...
