,question,topic,quesiton
0,,Integration_and_Accumulation_of_Change,Find the indefinite integral of f(x) = 3x^2 + 2x + 5
1,,Integration_and_Accumulation_of_Change,Evaluate the definite integral ∫(2x + 3)dx with bounds from 0 to 4.
2,,Integration_and_Accumulation_of_Change,"Find the average value of f(x) = 2x + 1 on the interval [0, 5]."
3,,Integration_and_Accumulation_of_Change,Use the fundamental theorem of calculus to find the derivative of ∫(3x^2 + 4x)dx.
4,,Integration_and_Accumulation_of_Change,Find the net change in distance traveled by a car whose velocity is described by f(t) = 5t + 10 from t = 0 to t = 5.
5,,Integration_and_Accumulation_of_Change,"Find the area between the curve y = 2x and the x-axis on the interval [1,3]."
6,,Integration_and_Accumulation_of_Change,"A tank initially contains 500 liters of water. If water is being drained at a rate of 20 liters per minute, how much water will be in the tank after 30 minutes?"
7,,Integration_and_Accumulation_of_Change,"The population of a city is growing at a rate of 2% per year. If the population is currently 100,000, find the total population after 10 years."
8,,Integration_and_Accumulation_of_Change,A ball is thrown straight up with an initial velocity of 20 m/s. Find the total distance the ball traveled during the first 5 seconds.
9,,Integration_and_Accumulation_of_Change,"A tank initially contains 2000 liters of a chemical solution. If the concentration of the solution is 0.5 grams per liter and the solution is being drained at a rate of 10 liters per minute, how many grams of the chemical will be left after 30 minutes?"
10,,Integration_and_Accumulation_of_Change,Find the definite integral of f(x) = x^2 + 3 from x = 0 to x = 2.
11,,Integration_and_Accumulation_of_Change,A car is accelerating at 5 m/s^2 for 10 seconds. What is the total distance traveled during this time?
12,,Integration_and_Accumulation_of_Change,"The rate of change of a population is given by P'(t) = 100t + 50, where t is measured in years. If the initial population is 500, what is the total change in population after 10 years?"
13,,Integration_and_Accumulation_of_Change,"If the velocity of a particle is given by v(t) = 2t, what is the total displacement of the particle from t = 3 to t = 7?"
14,,Integration_and_Accumulation_of_Change,A tank initially contains 50 gallons of water and is being drained at a rate of 5 gallons per minute. What is the total amount of water that will be drained after 30 minutes?
15,,Integration_and_Accumulation_of_Change,"The slope of a curve is given by dy/dx = 2x + 3, where x is measured in meters. If the curve passes through the point (1,4), what is the y-coordinate of the point where the slope is 10?"
16,,Integration_and_Accumulation_of_Change,"The flow rate of water leaving a tank at time t is given by Q(t) = 3t^2 - 6t, where t is measured in minutes. What is the total water flow during the first 5 minutes?"
17,,Integration_and_Accumulation_of_Change,The function f(x) = 3x^2 + 5x + 2 represents the demand for a product. What is the total increase in demand between x = 1 and x = 5?
18,,Integration_and_Accumulation_of_Change,"A rocket is fired at the velocity of v(t) = -3t^2 + 12t, where t is measured in seconds. What is the total displacement of the rocket after 4 seconds?"
19,,Integration_and_Accumulation_of_Change,"The rate of change of temperature T with respect to time t is given by dT/dt = 2t + 5, where t is measured in hours. If the initial temperature is 80 degrees Fahrenheit, what is the total change in temperature after 6 hours?"
20,,Integration_and_Accumulation_of_Change,Find the definite integral of f(x) = 2x from x = 1 to x = 3.
21,,Integration_and_Accumulation_of_Change,"Given the graph of f(x), find the area under the curve from x = 0 to x = 4."
22,,Integration_and_Accumulation_of_Change,"What is the average value of g(x) = 4x - 2 on the interval [0, 2]?"
23,,Integration_and_Accumulation_of_Change,"If the rate of change of the area of a circle with respect to its radius is constant, what is the equation for the area as a function of the radius?"
24,,Integration_and_Accumulation_of_Change,A car is traveling at a constant velocity of 60 mph. Find the displacement of the car from t = 2 to t = 5 seconds.
25,,Integration_and_Accumulation_of_Change,"What is the total distance traveled by a particle with velocity v(t) = 4t on the interval [0, 6] seconds?"
26,,Integration_and_Accumulation_of_Change,An object is dropped from a height of 100 feet. How long will it take for the object to reach the ground?
27,,Integration_and_Accumulation_of_Change,"Find the volume of a solid with base area g(x) = x^3 and cross-sectional length 5 on the interval [0, 2]."
28,,Integration_and_Accumulation_of_Change,"If the rate of change of pressure with respect to time is given by P'(t) = 5t, and the initial pressure is 50, what is the pressure after 5 seconds?"
29,,Integration_and_Accumulation_of_Change,"What is the work done by a force F(x) = 3x on the interval [0, 4]?"
30,,Integration_and_Accumulation_of_Change,Find the definite integral of f(x) = 2x^3 + 5x^2 - 3x + 1 from x = 1 to x = 5.
31,,Integration_and_Accumulation_of_Change,"If a car is traveling at a velocity of 30 m/s and has an acceleration of 5 m/s^2, what is its displacement after 10 seconds?"
32,,Integration_and_Accumulation_of_Change,Calculate the total area under the curve of f(x) = x^2 + 4x + 1 from x = 0 to x = 3.
33,,Integration_and_Accumulation_of_Change,"A tank initially contains 100 gallons of water. If water is being drained from the tank at a rate of 5 gallons per minute, how much water is left after 20 minutes?"
34,,Integration_and_Accumulation_of_Change,Determine the integral of g(x) = 3/x from x = 1 to x = e.
35,,Integration_and_Accumulation_of_Change,A rocket is fired vertically upwards with an initial velocity of 80 m/s. How high does the rocket reach before it starts falling back down?
36,,Integration_and_Accumulation_of_Change,Calculate the area between the curves f(x) = x^2 and g(x) = 2x - 1 from x = -1 to x = 2.
37,,Integration_and_Accumulation_of_Change,A company's profit (in millions of dollars) over a time period t (in years) is given by P(t) = 10t^2 - 30t + 20. What is the average profit over the first 5 years?
38,,Integration_and_Accumulation_of_Change,Find the volume of a cone with a radius of 4 cm and a height of 10 cm using integration.
