,question,topic,quesiton
0,,Analytical_Applications_of_Differentiation,"Find the equation of the tangent line to the curve y = x^2 at the point (2, 4)."
1,,Analytical_Applications_of_Differentiation,"A manufacturer wants to maximize the profit for a certain product. If the cost function is given by C(x) = 200 + 5x and the demand function is given by P(x) = 500 - 0.5x, where x is the number of units produced, how many units should be produced to maximize the profit?"
2,,Analytical_Applications_of_Differentiation,"A ladder is leaning against a wall, with its base 10 feet away from the wall. If the top of the ladder is sliding down the wall at a rate of 2 feet per second, how fast is the bottom of the ladder moving away from the wall when it is 6 feet high?"
3,,Analytical_Applications_of_Differentiation,"Water is flowing into a conical tank at a rate of 3 ft^3/min. If the height of the tank is 10 feet and the radius of the top is 5 feet, how fast is the height of the water increasing when the water is 4 feet deep?"
4,,Analytical_Applications_of_Differentiation,"A bridge is being built in the shape of a parabolic arch. If the arch has a span of 100 feet and a maximum height of 50 feet, what is the equation of the parabola that represents the arch?"
5,,Analytical_Applications_of_Differentiation,"The rate of change of the circumference of a circle as the radius increases is given by the derivative of the circumference formula, dC/dr = 2π. If the circumference of a circle is 10π inches, what is the rate of change of the circle's area when the radius is 5 inches?"
6,,Analytical_Applications_of_Differentiation,"A company sells a product with a constant demand of 300 units per week. If the price function is given by P(x) = 500 - x, where x is the number of units produced, how much should the company charge to maximize revenue?"
7,,Analytical_Applications_of_Differentiation,A rocket is launched vertically into the air and its height (in feet) after t seconds is given by h(t) = 1000t - 16t^2. What is the maximum height the rocket can reach and at what time does it reach this height?
8,,Analytical_Applications_of_Differentiation,"A metal box with no lid is to be constructed. If the base of the box has dimensions 8 inches by 12 inches and the volume is to be 400 cubic inches, find the dimensions that will minimize the surface area of the box."
9,,Analytical_Applications_of_Differentiation,A
10,,Analytical_Applications_of_Differentiation,Find the maximum value of the profit function for a company with a demand function of p = 1000 - 2x and a cost function of C(x) = 500 + 3x.
11,,Analytical_Applications_of_Differentiation,A rectangular prism with a volume of 1000 cm^3 has a square base. What dimensions should the prism have to minimize the surface area?
12,,Analytical_Applications_of_Differentiation,"A ladder is leaning against a wall, with its base 5 meters away from the wall. If the top of the ladder is sliding down the wall at a rate of 2 meters per second, how fast is the bottom of the ladder moving away from the wall when the top is 12 meters high?"
13,,Analytical_Applications_of_Differentiation,A cylindrical soup can with a radius of 5 cm is being filled with soup flowing at a rate of 100 cm^3 per second. How fast is the height of the soup changing when the depth of the soup is 10 cm?
14,,Analytical_Applications_of_Differentiation,A rectangular piece of cardboard has a length twice its width. It is being cut in a way that the resulting box will have a square base. What should be the dimensions of the original cardboard in order to maximize the volume of the box?
15,,Analytical_Applications_of_Differentiation,"A car is traveling at a constant speed of 60 km/hr. It passes a police car that is parked on the side of the road. If the police car starts accelerating at a rate of 5 km/hr^2, how long will it take for the police car to catch up to the speeding car?"
16,,Analytical_Applications_of_Differentiation,A baseball is hit into the air with an initial velocity of 30 m/s at an angle of 45 degrees. How far does the ball travel before it hits the ground?
17,,Analytical_Applications_of_Differentiation,A company produces and sells x units of a product. The total cost function is C(x) = 2000 + 5x^3 and the revenue function is R(x) = 500x. Find the production level that will maximize profit.
18,,Analytical_Applications_of_Differentiation,A rocket is fired straight up from the ground with an initial velocity of 50 m/s. The rocket's height (in meters) after t seconds is given by h(t) = -5t^2 + 100t. Find the maximum height reached and the time it takes to reach that height.
19,,Analytical_Applications_of_Differentiation,"A flagpole casts a shadow that is 40 feet long. If the angle of elevation of the sun is 30 degrees, how tall is the flagpole?"
20,,Analytical_Applications_of_Differentiation,What is the rate of change of the volume of a sphere with respect to its radius?
21,,Analytical_Applications_of_Differentiation,How fast is the area of a circle growing when the radius is increasing by 2 meters per second?
22,,Analytical_Applications_of_Differentiation,"A ladder is leaning against a wall with its base 4 feet away from the wall. If the base is being pulled away from the wall at a rate of 1 foot per second, how fast is the top of the ladder sliding down the wall when the base is 10 feet high?"
23,,Analytical_Applications_of_Differentiation,"A conical water tank has a height of 8 meters and a radius of 5 meters. If water is being pumped into the tank at a rate of 10 cubic meters per minute, how fast is the depth of the water increasing when the water is at a depth of 6 meters?"
24,,Analytical_Applications_of_Differentiation,Find the point on the curve y = x^3 - 5x^2 + 4x + 1 where the tangent line is parallel to the line y = 2x - 5.
25,,Analytical_Applications_of_Differentiation,A particle moves along the x-axis according to the position function x(t) = t^3 + 6t^2 + 9t. At what time t does the particle change direction?
26,,Analytical_Applications_of_Differentiation,The cost C and revenue R in dollars for selling x units of a certain product are given by the equations: C(x) = 500 + 3x and R(x) = 20x. Find the level of production that maximizes profit.
27,,Analytical_Applications_of_Differentiation,A car is traveling along a straight road at a constant speed of 60 miles per hour. At what rate is the distance between the car and a stationary object changing if the car is approaching the object at a rate of 40 miles per hour?
28,,Analytical_Applications_of_Differentiation,A right circular cone with a height of 10 meters and a base radius of 6 meters is being filled with liquid at a rate of 2 cubic meters per minute. At what rate is the depth of the liquid in the cone increasing when the cone is half full?
29,,Analytical_Applications_of_Differentiation,A rectangular garden is to be built against a house using 60 meters of fencing. Find the dimensions of the garden with the maximum area.
30,,Analytical_Applications_of_Differentiation,"A manufacturing company produces a certain product at a constant rate of 200 units per day. If the cost function for producing n units per day is given by C(n) = 0.002n^2 + 40n + 500, what is the minimum cost of producing 500 units in a day?"
31,,Analytical_Applications_of_Differentiation,"The demand function for a particular product is given by q = 500 - 4p, where p is the price in dollars and q is the quantity demanded in thousands. Find the price that will maximize the total revenue."
32,,Analytical_Applications_of_Differentiation,"The volume of a cylindrical tank is increasing at a rate of 2π cubic meters per hour. If the radius of the tank is 5 meters, how fast is the height increasing when the height is 10 meters?"
33,,Analytical_Applications_of_Differentiation,The radius of a circle is increasing at a rate of 3 centimeters per second. Find the rate of change of its area when the radius is 5 centimeters.
34,,Analytical_Applications_of_Differentiation,A rectangle has a perimeter of 60 cm. Find the dimensions of the rectangle with the largest area.
35,,Analytical_Applications_of_Differentiation,"A car traveling along a straight road at 60 km/h passes a point P moving at a constant rate of 25 km/h, where P is 30 km from the starting point. Find the distance between the car and P after 2 hours."
36,,Analytical_Applications_of_Differentiation,"The revenue function for a product is given by R(x) = 12x - 0.01x^2, where x is the number of units sold. Find the maximum revenue and the corresponding number of units sold."
37,,Analytical_Applications_of_Differentiation,"A company charges $15 for a concert ticket and sells 500 tickets. For every $1 increase in ticket price, they sell 20 fewer tickets. What ticket price should the company set to maximize their revenue?"
38,,Analytical_Applications_of_Differentiation,The tank in a waterpark is filled with 5000 liters of water. Water is pumped into the tank at a rate of 150 liters per minute and drained out at a rate of 75 liters per minute. After how many minutes will the tank be half full?
39,,Analytical_Applications_of_Differentiation,"A ladder 10 feet long is leaning against a building. If the bottom of the ladder is sliding away from the building at a rate of 1 foot per second, how fast is the top of the ladder sliding down when it is 6 feet from the ground?"
40,,Analytical_Applications_of_Differentiation,"What is the maximum value of the revenue function R(x) = (40x - x^2)^2, where x represents the number of units produced?"
41,,Analytical_Applications_of_Differentiation,"Find the derivative of the position function s(t) = t^3 - 12t^2 + 30t, to determine when the object is at rest."
42,,Analytical_Applications_of_Differentiation,A water tank is in the shape of a right circular cylinder with radius 3 meters and height 6 meters. What is the rate of change of the water level when the depth of the water is increasing at a constant rate of 0.4 meters per minute?
43,,Analytical_Applications_of_Differentiation,"A ladder is leaning against a vertical wall. If the base of the ladder is sliding away from the wall at a rate of 2 feet per second, and the top of the ladder is sliding down the wall at a rate of 1 foot per second, how fast is the angle between the ladder and the ground changing when the base is 8 feet from the wall?"
44,,Analytical_Applications_of_Differentiation,"The hypotenuse of a right triangle is increasing at a rate of 3 cm per second, while the adjacent side is decreasing at a rate of 2 cm per second. Find the rate at which the angle between the hypotenuse and the adjacent side is changing when the adjacent side is 10 cm and the hypotenuse is 14 cm."
45,,Analytical_Applications_of_Differentiation,A cylindrical can is being filled with water at a rate of 1 cubic meter per minute. The can has a radius of 2 meters and a height of 5 meters. How fast is the height of the water rising when the height is 3 meters?
46,,Analytical_Applications_of_Differentiation,"An amusement park ride consists of a rotating platform with seats attached at its outer edge. If the platform has a radius of 10 meters and is rotating at a rate of 3 revolutions per minute, how fast is the distance between two adjacent seats changing when the riders are at a distance of 4 meters from the center?"
47,,Analytical_Applications_of_Differentiation,A caterer charges a fixed setup fee of $200 plus $9 per person for a buffet dinner. How many guests must attend in order to minimize the average cost per guest?
48,,Analytical_Applications_of_Differentiation,"A parcel of land is in the shape of a right triangle with sides of length 75 meters, 100 meters, and 125 meters. If the shortest side is increasing at a rate of 2 meters per minute, at what rate is the area of the parcel increasing when the shortest side is"
49,,Analytical_Applications_of_Differentiation,"Given a quadratic function f(x) = 3x^2 + 2x + 5, find the derivative of f(x) and determine the slope of the tangent line at x = 2."
50,,Analytical_Applications_of_Differentiation,A ball is thrown upwards with an initial velocity of 20 meters per second. How long does it take for the ball to reach its maximum height and what is the maximum height?
51,,Analytical_Applications_of_Differentiation,"Find the critical points and determine whether they are local maximum, local minimum, or neither for the function g(x) = 4x^3 - 12x^2 + 3."
52,,Analytical_Applications_of_Differentiation,A rectangular piece of cardboard with an 8 inch by 12 inch base is to be made into a box with no top by cutting squares of equal size from each corner and folding up the sides. Express the volume of the box as a function of the length of the side of the cutout square.
53,,Analytical_Applications_of_Differentiation,A particle moves along the curve y = x^3 + 2x^2. Find the point(s) on the curve where the tangent line is horizontal.
54,,Analytical_Applications_of_Differentiation,"The revenue function for a company is R(x) = 200x^3 - 2000x^2 + 5000x, where x is the number of units sold in thousands. Determine the number of units that should be produced and sold in order to maximize revenue."
55,,Analytical_Applications_of_Differentiation,"Find the average value of the function f(x) = 4x^2 - 6x + 5 on the interval [1,5]."
56,,Analytical_Applications_of_Differentiation,"A ladder 20 feet long is leaning against the side of a building. If the bottom of the ladder is pulled away from the wall at a constant rate of 2 feet per second, how fast is the top sliding down the wall when the bottom of the ladder is 12 feet from the wall?"
57,,Analytical_Applications_of_Differentiation,A cylindrical tank with a radius of 8 meters is being filled with water at a rate of 4 cubic meters per minute. At what rate is the water level rising when the depth of the water is 5 meters?
58,,Analytical_Applications_of_Differentiation,A farmer has 400 feet of fencing and wants to enclose a rectangular area of land and also divide it into two parts with a fence down the middle parallel to one side of the rectangle. What dimensions should the farmer use for maximum enclosed area?
59,,Analytical_Applications_of_Differentiation,What is the first derivative of the function f(x) = x^3 + 2x + 1 at the point x = 2?
60,,Analytical_Applications_of_Differentiation,How many critical points does the function f(x) = x^2 - 4x + 8 have?
61,,Analytical_Applications_of_Differentiation,At what x-value does the function y = (x^2 - 4x)^3 have a local maximum?
62,,Analytical_Applications_of_Differentiation,Find the linear approximation of the function f(x) = sqrt(x) at the point x = 4.
63,,Analytical_Applications_of_Differentiation,For what values of x does the function g(x) = x^3 - 3x^2 + 5x have a concave up/convex down shape?
64,,Analytical_Applications_of_Differentiation,What is the maximum profit that can be achieved by producing and selling x units of a product with a cost function C(x) = 50x + 500 and a revenue function R(x) = 75x?
65,,Analytical_Applications_of_Differentiation,Find the second derivative of the function y = e^x * sin(x).
66,,Analytical_Applications_of_Differentiation,A ball is thrown into the air with an initial velocity of 30 m/s. What is the maximum height the ball reaches and at what time does it reach it?
67,,Analytical_Applications_of_Differentiation,"The population of a town is modeled by the function P(t) = 5000 / (1 + 4e^(-0.5t)), where t represents time in years. At what rate is the population growing after 5 years?"
68,,Analytical_Applications_of_Differentiation,A cylindrical can with a volume of 1000 cm^3 is being filled with liquid at a rate of 20 cm^3/s. How fast is the height of the liquid changing when the radius is 5 cm?
69,,Analytical_Applications_of_Differentiation,What is the rate of change of the area of a circle with respect to its radius?
70,,Analytical_Applications_of_Differentiation,At what point does a parabola intersect a given line when the equation of the parabola and the equation of the line are known?
