,question,topic,quesiton
0,,Applications_of_Integration,Find the average velocity of a moving object given its displacement function over a given time interval.
1,,Applications_of_Integration,Calculate the total work done by a constant force on an object moving along a straight line.
2,,Applications_of_Integration,Determine the area under the curve of a velocity function to find the distance traveled by an object.
3,,Applications_of_Integration,Find the volume of a solid formed by revolving a region bounded by two curves around a given axis.
4,,Applications_of_Integration,Calculate the total charge represented by a current function over a given time interval.
5,,Applications_of_Integration,Determine the pressure exerted on a dam wall by water using integration techniques.
6,,Applications_of_Integration,Find the amount of paint required to cover a curved surface by using integration to calculate the surface area.
7,,Applications_of_Integration,Determine the center of mass of an irregularly shaped object using integration of mass and position functions.
8,,Applications_of_Integration,Calculate the total cost of production for a company by integrating the cost function over a given time period.
9,,Applications_of_Integration,Find the average rate of change of a population over time using a growth or decay model represented by an integral.
10,,Applications_of_Integration,Find the volume of the solid generated by rotating the region bounded by the curve y = x^2 and the lines x = 0 and x = 1 about the x-axis.
11,,Applications_of_Integration,"Calculate the total amount of water that would fill a conical tank with a radius of 5 meters and a height of 10 meters, where the water level rises at a rate of 2 meters per hour."
12,,Applications_of_Integration,A particle moves along the x-axis with velocity v(t) = 3 + 4t - 2t^2 for t ≥ 0. Find the displacement of the particle from time t = 0 to t = 3.
13,,Applications_of_Integration,"A manufacturer produces a certain product at a rate of 50 units per hour. If the demand for the product is given by the equation D(t) = 100 + 20t, where t is in hours, how many units will be in inventory after 8 hours?"
14,,Applications_of_Integration,A spring with a natural length of 10 cm is stretched to a length of 14 cm by a force of 30 N. How much work is done in stretching the spring to a length of 16 cm?
15,,Applications_of_Integration,"A company is planning to build a rectangular storage container with a volume of 2000 cubic feet. If the material for the base costs $5 per square foot and the material for the sides costs $3 per square foot, find the dimensions of the container that will minimize the cost of materials."
16,,Applications_of_Integration,A circular pool with a diameter of 10 meters is surrounded by a square walkway with a width of 2 meters. What is the total area of the walkway and the pool?
17,,Applications_of_Integration,A boat is traveling up a river at a speed of 10 km/h. The river's current is 3 km/h. How far upstream can the boat travel in 2 hours?
18,,Applications_of_Integration,"A farmer wants to enclose a rectangular field with a fence and divide it into 3 equal sections with two parallel fences running across its width. If the total length of fence needed is 180 meters, what are the dimensions of the field that will maximize the area?"
19,,Applications_of_Integration,"A water tank is in the shape of a right circular cone with height 10 meters and base radius 5 meters. If the tank is filled with water at the rate of 2 cubic meters per minute, how fast is the water level rising when the water is 6 meters deep?"
20,,Applications_of_Integration,"Find the volume of the solid generated by rotating the region bounded by y=x^2, y=0, and x=2 about the y-axis."
21,,Applications_of_Integration,A rectangular storage tank with a height of 8 meters and a base length of 10 meters is being filled with water at a constant rate of 2 cubic meters per minute. How fast is the water level rising when the water is 4 meters deep?
22,,Applications_of_Integration,"A car travels at a constant speed of 60 mph for 2 hours, then increases its speed to 80 mph for the next 3 hours. Find the total distance traveled by the car."
23,,Applications_of_Integration,A person is standing 50 meters away from a building. The person walks towards the building at a speed of 2 meters per second. How fast is the area of the person's shadow decreasing when they are 10 meters away from the building?
24,,Applications_of_Integration,A cone with radius 5 inches and height 10 inches is being filled with water at a rate of 3 cubic inches per minute. At what rate is the water level rising when the depth is 3 inches?
25,,Applications_of_Integration,"Find the average value of the function f(x) = 2x^2 + 5x on the interval [2, 6]."
26,,Applications_of_Integration,A particle moves along the x-axis with velocity v(t) = sin(t) meters per second. Find the total distance traveled by the particle from t=0 to t=π.
27,,Applications_of_Integration,"A rope, 10 meters long, is hanging from the edge of a building. When the rope is pulled taut, it makes an angle of 60 degrees with the ground. How far away from the building is the bottom of the rope?"
28,,Applications_of_Integration,"A car is traveling at a speed of 60 mph when the brakes are applied, causing the car to slow down at a rate of 8 mph per second. How far does the car travel before coming to a complete stop?"
29,,Applications_of_Integration,"Find the area of the region bounded by y=x^3, x=1, and y=0."
30,,Applications_of_Integration,A car is traveling at a constant velocity of 60 miles per hour. What is the total distance the car has traveled after 4 hours?
31,,Applications_of_Integration,"A water tank has the shape of a cone with a depth of 10 meters. If the radius of the base is increasing at a rate of 2 meters per minute, how fast is the volume of water in the tank increasing when the water is 8 meters deep?"
32,,Applications_of_Integration,"A company produces 100 units of a product per day and can sell them at a profit of $10 per unit. However, for every increase in production by 5 units, their manufacturing cost increases by $4 per unit. How many units should the company produce in order to maximize profit?"
33,,Applications_of_Integration,A spherical balloon is being inflated at a rate of 20 cubic inches per second. At what rate is the surface area of the balloon increasing when the radius is 5 inches?
34,,Applications_of_Integration,"A farmer wants to enclose a rectangular area with a fence, using the side of a barn as one side of the fence. If the farmer has 40 meters of fence and wants to enclose the largest possible area, what are the dimensions of the rectangular area?"
35,,Applications_of_Integration,"A rocket is launched vertically from the ground with an initial velocity of 100 meters per second. The rocket's acceleration is given by the equation a(t) = 9.8 - 1.5t, where t is the time in seconds since the rocket's launch. What is the maximum height the rocket reaches before falling back to the ground?"
36,,Applications_of_Integration,"A cylindrical container has a radius of 10 centimeters and a height of 20 centimeters. If the container is filled with water at a rate of 2 cubic centimeters per second, how long will it take to fill the container?"
37,,Applications_of_Integration,"A new amusement park ride has a height that varies according to the distance traveled. The height, in meters, at a given time t can be described by the function h(t) = 10t - 2t^2, where t is in seconds. What is the average speed of the ride over the first 5 seconds?"
