,question,topic,quesiton
0,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the equation of the tangent line to the polar curve r=2cos(theta)+3sin(theta) at the point (pi/4, sqrt(2))."
1,,Parametric_Equations_polar coordinates_and_vector-values_functions,"For a particle moving along the polar curve r=4sin(theta), determine the velocity and speed at theta=pi/3."
2,,Parametric_Equations_polar coordinates_and_vector-values_functions,Write the parametric equations for the polar curve r=2sin(2theta) in Cartesian form.
3,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the length of the arc of the polar curve r=2theta from theta=0 to theta=pi/4.
4,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the vector-valued function r(t)=<cos(t), t, sin(t)> for t in [0, 2pi], find the velocity, acceleration, and speed at t=pi/4."
5,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Solve the differential equation d^2r/dt^2 = -c^2r for a particle moving along a polar curve, where c is a constant."
6,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the polar equation r=3+2cos(theta), find the horizontal and vertical asymptotes of the curve."
7,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the area enclosed by the polar curve r=5cos(theta).
8,,Parametric_Equations_polar coordinates_and_vector-values_functions,"For a particle moving along the path r=2sin(theta)+3cos(theta), find the total distance traveled when theta goes from 0 to 2pi."
9,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the vector-valued function representing the line tangent to the polar curve r=2/(1+2cos(theta)) at the point (pi/3, 2)."
10,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the area under the curve r=2cos(t), from θ=0 to θ=π"
11,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the tangent line to the curve r=3sin(t)+2cos(t) at θ=π/4
12,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the length of the arc of the curve r=4ln(t)+3 at θ=1 and θ=2
13,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the vector function r(t)=[3sin(t), 4cos(t)], find the curvature of the curve at t=π/6"
14,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the derivative of the function r(t)=[3t^2, 2e^t] with respect to t"
15,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the points on the polar curve r=2sin(θ) where the tangent line is horizontal
16,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the equation of the normal line to the polar curve r=3θ at θ=π/3
17,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Calculate the rate of change of the vector function r(t)=[t^2, e^-t] at t=2"
18,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the parametric equations x=2cos(t), y=3sin(t), find the equation of the tangent line at t=π/4"
19,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the minimum value of r=2sin(θ)+5cos(θ) and the θ-value associated with it.
20,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the derivative of the parametric equations x = 2cos(t) and y = 3sin(t).
21,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the tangent line to the polar curve r = 2sin(θ) + cos(θ) at θ = π/4.
22,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the vector-valued function r(t) = <2t, 3t^2, 5t>, find the velocity and acceleration vectors at t = 2."
23,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the area of the region bounded by the polar curve r = 1 + 2sin(θ).
24,,Parametric_Equations_polar coordinates_and_vector-values_functions,"If the position vector of a particle in motion is given by r(t) = <3cos(t), 4sin(t)>, find its speed and acceleration at t = π/2."
25,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Determine the derivative of the vector-valued function r(t) = <cos(t), sin(t), t>."
26,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the equation of the tangent line to the parametric curve x = t^2, y = 3t at t = 1."
27,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the polar curve r = 4cos(θ), find the distance traveled by a particle on the curve in one full revolution (from θ = 0 to θ = 2π)."
28,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the equation of the normal line to the polar curve r = 2sin(2θ) at θ = π/4.
29,,Parametric_Equations_polar coordinates_and_vector-values_functions,"For the vector-valued function r(t) = <e^t, t^2, t>, find the unit tangent vector at t = 1.]"
30,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the tangent line to the parametric curve x = cos(t), y = sin(t) at t = pi/4."
31,,Parametric_Equations_polar coordinates_and_vector-values_functions,Solve for the area enclosed by the polar curve r = 3sin(theta).
32,,Parametric_Equations_polar coordinates_and_vector-values_functions,What is the derivative of the vector-valued function r(t) = t^2 i + 3t j - 4t k?
33,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the parametric equations x = t^2, y = t+1, find the coordinates of the intersection point between the curve and the line y = x + 2."
34,,Parametric_Equations_polar coordinates_and_vector-values_functions,Calculate the distance traveled by an object moving along the polar curve r = 2cos(theta) from theta = 0 to theta = pi/3.
35,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the unit vector tangent to the curve represented by r(t) = t i + 2sin(2t) j + 3 cos(2t) k.
36,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the slope of the tangent line to the polar curve r = 3cos(theta) + 4sin(theta) at theta = pi/6.
37,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the vector function r(t) = 2t^2 i + 3sin(t) j + 6t k, find the magnitude of the acceleration vector at t = 2."
38,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Solve for the area enclosed by the parametric curve x = 2cos(t), y = 2sin(t), z = 3sin(2t)."
39,,Parametric_Equations_polar coordinates_and_vector-values_functions,"If a vector-valued function r(t) = 2t i + 5t^2 j + 3k is used to represent the motion of an object, at what time t will the object have the maximum speed?"
40,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the slope of the tangent line to the parametrically defined curve $x = \cos(t)$, $y = \sin(t)$ at the point $(\frac{\pi}{4}, \frac{\sqrt{2}}{2})$."
41,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the polar curve $r = 2\cos\theta$, what is the value of $r$ when $\theta = \frac{\pi}{6}$?"
42,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the derivative of the vector-valued function $\vec{f}(t) = \langle 2t, 3t^2 + 1, \frac{1}{t} \rangle$."
43,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the parametric equations $x = t^2 + 1$, $y = t^3 + 2t$, find the point(s) on the curve where the tangent line is parallel to the line $y = 2x + 3$."
44,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the slope of the tangent line at the point where the polar curve $r = 3\sin(2\theta)$ intersects the line $\theta = \frac{\pi}{4}$.
45,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the arc length of the vector-valued function $\vec{g}(t) = \langle \cos(t), \sin(t), t \rangle$ over the interval $[0, \frac{\pi}{2}]$."
