,question,topic,quesiton
0,,Differential_Equations,What is the general solution to the differential equation dy/dx = 2x?
1,,Differential_Equations,"Find the particular solution to the differential equation y' = 3y + 5, given that y(1) = 10."
2,,Differential_Equations,"Solve the initial value problem dy/dx = 2x^2, y(0) = 2."
3,,Differential_Equations,"What is the solution to the differential equation dy/dx = 3xy, given that y(0) = 1?"
4,,Differential_Equations,Find the general solution to the differential equation dy/dx = 4sin(x).
5,,Differential_Equations,"What is the solution to the differential equation dy/dx = y + e^x, given that y(0) = 3?"
6,,Differential_Equations,Find the general solution to the differential equation dy/dx = 6x^2 + 12.
7,,Differential_Equations,"What is the solution to the differential equation dy/dx = x^2 + 4x, given that y(1) = 5?"
8,,Differential_Equations,"Find the particular solution to the differential equation dy/dx = x^3 - 5x^2 + 8x, given that y(2) = 10."
9,,Differential_Equations,What is the general solution to the differential equation dy/dx = x^2y?
10,,Differential_Equations,Find the general solution to the differential equation dy/dx = x/y
11,,Differential_Equations,Solve the initial value problem: dy/dx = 3x - 6 and y(0) = 4
12,,Differential_Equations,Determine whether y = e^x is a solution to the differential equation d^2y/dx^2 + 2dy/dx + y = 0
13,,Differential_Equations,Find the particular solution to y'' - 4y' + 4y = 6x + 3 with initial conditions y(0) = 0 and y'(0) = 2
14,,Differential_Equations,Use separation of variables to solve the differential equation dy/dx = (1 + y)^2
15,,Differential_Equations,Find the solution to the differential equation dx/dt = 1 + x^2 with x(0) = 0 using the method of integrating factors
16,,Differential_Equations,Use the substitution u = x^2 to transform the differential equation y' + 2xy = x^3 into a separable equation
17,,Differential_Equations,Solve the differential equation (1+x^2)y' = xy with initial condition y(1) = 2 using the Laplace transform
18,,Differential_Equations,Find the general solution to the differential equation y'^2 = 4x - 4y
19,,Differential_Equations,Determine whether y = e^x is a solution to the differential equation dy/dx = y + 1 and find the particular solution with y(0) = 1
20,,Differential_Equations,"Find the particular solution to the differential equation y' + 2y = 4x, given the initial condition y(0) = 3."
21,,Differential_Equations,Solve the differential equation y' = 3x^2 + e^y.
22,,Differential_Equations,Determine the general solution to the differential equation y' = 2xy.
